Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,Avg_Salary,salary_float,salary_ratio,GS%,Salary_Rank
Joe Harris,61,57,30.9,5.3,10.3,.513,3.1,6.5,.482,2.1,3.8,.565,0.8,1.0,.780,0.6,2.9,3.6,1.9,0.7,0.2,0.8,2.0,14.4,NBA,  BKN,G, 29 ,"$18,750,000  ",18750000.0,0.00253,0.9344262295081968,56
Domantas Sabonis,53,53,35.7,7.5,14.4,.520,0.8,2.6,.302,6.7,11.8,.568,4.1,5.6,.731,2.5,9.1,11.6,6.0,1.1,0.5,3.4,3.4,19.9,NBA,  IND,F, 24 ,"$18,725,000  ",18725000.0,0.00253,1.0,57
Bojan Bogdanovic,60,60,30.6,5.2,12.2,.425,2.5,6.4,.387,2.7,5.8,.466,2.9,3.3,.870,0.6,3.3,3.9,1.9,0.6,0.1,1.6,1.6,15.7,NBA,  UTH,F, 31 ,"$18,275,000  ",18275000.0,0.00247,1.0,58
Goran Dragic,40,10,26.3,4.6,10.6,.435,1.7,4.7,.355,3.0,6.0,.498,2.1,2.6,.814,0.5,3.0,3.5,4.4,0.7,0.2,2.5,2.2,13.0,NBA,  MIA,G, 34 ,"$18,000,000  ",18000000.0,0.00243,0.25,59
Clint Capela,53,53,30.6,6.7,11.2,.601,0.0,0.0,,6.7,11.2,.601,2.1,3.6,.583,4.8,9.8,14.7,0.8,0.7,2.2,1.2,2.3,15.5,NBA,  ATL,C, 26 ,"$18,000,000  ",18000000.0,0.00243,1.0,60
Bogdan Bogdanovic,36,19,28.8,5.6,12.3,.460,3.0,7.1,.424,2.6,5.2,.511,0.9,1.0,.892,0.5,3.2,3.6,3.2,1.0,0.3,1.2,2.2,15.2,NBA,  ATL,G, 28 ,"$18,000,000  ",18000000.0,0.00243,0.5277777777777778,61
Tim Hardaway Jr.,58,21,28.3,5.5,12.7,.432,2.8,7.3,.380,2.7,5.3,.503,1.8,2.3,.791,0.3,3.0,3.3,1.7,0.4,0.2,0.9,1.5,15.5,NBA,  DAL,G, 28 ,"$17,737,500  ",17737500.0,0.0024,0.3620689655172414,62
Caris LeVert,36,28,30.9,7.2,16.5,.434,1.6,5.5,.299,5.5,11.1,.500,2.7,3.5,.778,0.8,3.7,4.5,4.8,1.5,0.5,1.9,2.1,18.7,NBA,  IND,G, 26 ,"$17,500,000  ",17500000.0,0.00236,0.7777777777777778,63
Dennis Schröder,56,56,32.0,5.4,12.4,.438,1.2,3.4,.344,4.3,9.1,.472,3.5,4.2,.843,0.5,3.0,3.5,5.7,1.2,0.2,2.7,2.6,15.6,NBA,  LAL,G, 27 ,"$17,500,000  ",17500000.0,0.00236,1.0,64
Eric Bledsoe,59,58,29.8,4.1,10.0,.409,1.8,5.1,.352,2.3,4.9,.469,1.8,2.4,.722,0.4,3.0,3.4,3.7,0.7,0.3,1.6,1.6,11.8,NBA,  NOP,G, 30 ,"$17,500,000  ",17500000.0,0.00236,0.9830508474576272,65
Evan Fournier,32,26,29.5,5.8,13.0,.446,2.6,6.8,.389,3.2,6.3,.507,3.2,4.0,.798,0.2,2.5,2.7,3.4,1.0,0.4,1.9,2.1,17.5,NBA,  BOS,G, 27 ,"$17,000,000  ",17000000.0,0.0023,0.8125,66
Ricky Rubio,57,42,26.2,2.7,7.2,.378,0.9,2.9,.301,1.8,4.3,.430,2.0,2.3,.856,0.4,2.8,3.2,6.6,1.4,0.1,1.8,2.1,8.3,NBA,  MIN,G, 29 ,"$17,000,000  ",17000000.0,0.0023,0.7368421052631579,67
Rudy Gay,51,0,21.7,4.1,9.8,.413,1.6,4.2,.375,2.5,5.6,.442,1.3,1.6,.805,0.7,4.2,4.9,1.5,0.7,0.6,1.0,1.9,11.0,NBA,  SAS,F, 34 ,"$16,000,000  ",16000000.0,0.00216,0.0,68
Davis Bertans,45,5,24.8,3.4,8.4,.407,3.0,7.5,.404,0.4,0.9,.436,1.7,1.9,.885,0.3,2.7,3.0,0.9,0.6,0.2,0.6,2.4,11.6,NBA,  WAS,F, 27 ,"$16,000,000  ",16000000.0,0.00216,0.1111111111111111,69
Dejounte Murray,56,56,31.6,6.4,14.3,.449,1.0,3.1,.333,5.4,11.2,.481,1.6,2.0,.795,0.7,6.2,6.9,5.3,1.6,0.1,1.7,2.0,15.4,NBA,  SAS,G, 24 ,"$15,955,000  ",15955000.0,0.00216,1.0,70
Malik Beasley,37,36,32.8,7.1,16.2,.440,3.5,8.7,.399,3.7,7.5,.487,1.8,2.2,.850,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,NBA,  MIN,G, 23 ,"$15,000,000  ",15000000.0,0.00203,0.972972972972973,71
Danny Green,59,59,28.3,3.3,7.8,.420,2.6,6.2,.414,0.7,1.6,.443,0.5,0.6,.771,0.8,2.9,3.7,1.7,1.3,0.8,1.0,1.8,9.6,NBA,  PHI,G, 33 ,"$15,000,000  ",15000000.0,0.00203,1.0,72
Jonas Valanciunas,51,50,28.1,7.1,12.2,.579,0.4,1.0,.365,6.7,11.2,.598,2.5,3.3,.774,4.1,8.4,12.5,1.8,0.5,0.7,1.6,2.8,17.1,NBA,  MEM,C, 28 ,"$15,000,000  ",15000000.0,0.00203,0.9803921568627451,73
Andre Iguodala,54,4,21.5,1.6,4.2,.381,1.0,3.1,.329,0.6,1.0,.536,0.4,0.6,.647,0.6,3.0,3.6,2.2,1.0,0.6,1.0,1.4,4.6,NBA,  MIA,F, 36 ,"$15,000,000  ",15000000.0,0.00203,0.07407407407407407,74
Kelly Oubre Jr.,54,50,30.8,5.9,13.2,.443,1.6,5.1,.317,4.2,8.1,.523,2.2,3.1,.704,1.5,4.5,6.0,1.4,1.0,0.8,1.3,2.2,15.5,NBA,  GSW,F, 24 ,"$15,000,000  ",15000000.0,0.00203,0.9259259259259259,75
Thaddeus Young,56,17,24.0,5.5,9.6,.578,0.2,0.6,.278,5.3,8.9,.599,1.0,1.5,.635,2.4,3.7,6.1,4.1,1.1,0.6,2.0,2.4,12.2,NBA,  CHI,F, 32 ,"$14,545,000  ",14545000.0,0.00197,0.30357142857142855,76
James Johnson,40,6,20.1,2.7,6.1,.442,0.6,2.4,.260,2.1,3.7,.562,0.9,1.3,.642,0.6,2.7,3.3,2.0,0.9,0.9,1.1,2.3,6.8,NBA,  NOP,F, 33 ,"$14,431,700  ",14431700.0,0.00195,0.15,77
Cody Zeller,38,20,21.0,3.6,6.7,.542,0.1,0.7,.120,3.5,6.0,.588,1.7,2.2,.741,2.6,4.3,6.9,1.9,0.6,0.4,1.1,2.4,8.9,NBA,  CHA,C, 27 ,"$14,000,000  ",14000000.0,0.00189,0.5263157894736842,78
Christian Wood,37,37,32.0,8.1,15.5,.523,1.8,4.8,.376,6.3,10.7,.588,2.9,4.6,.634,1.8,7.7,9.5,1.5,0.9,1.2,1.9,2.1,21.0,NBA,  HOU,F, 25 ,"$13,666,667  ",13666667.0,0.00185,1.0,79
Terrence Ross,46,2,29.3,5.5,13.4,.412,1.9,5.7,.337,3.6,7.7,.469,2.6,3.0,.870,0.3,3.1,3.4,2.3,1.0,0.5,1.6,1.9,15.6,NBA,  ORL,G, 29 ,"$13,500,000  ",13500000.0,0.00182,0.043478260869565216,80
Patrick Beverley,31,31,23.4,2.6,6.1,.432,1.7,4.0,.416,1.0,2.1,.462,1.1,1.3,.805,0.9,2.7,3.6,2.1,0.8,0.8,0.9,3.1,8.0,NBA,  LAC,G, 32 ,"$13,333,327  ",13333327.0,0.0018,1.0,81
J.J. Redick,38,0,17.6,2.7,6.5,.415,1.6,4.2,.385,1.1,2.2,.471,1.2,1.3,.940,0.1,1.5,1.6,1.2,0.3,0.1,0.9,1.1,8.2,NBA,  DAL,G, 36 ,"$13,250,000  ",13250000.0,0.00179,0.0,82
Will Barton,56,52,31.0,4.6,10.9,.426,1.8,4.6,.381,2.9,6.3,.459,1.7,2.2,.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7,NBA,  DEN,F, 29 ,"$13,250,000  ",13250000.0,0.00179,0.9285714285714286,83
Kentavious Caldwell-Pope,55,55,27.4,3.3,7.6,.433,1.8,4.3,.424,1.5,3.3,.444,1.3,1.5,.857,0.4,2.2,2.7,1.6,0.8,0.3,1.0,1.6,9.7,NBA,  LAL,G, 27 ,"$13,038,862  ",13038862.0,0.00176,1.0,84
Justise Winslow,20,0,20.1,3.0,8.5,.347,0.3,2.2,.140,2.7,6.4,.417,0.5,0.9,.556,0.7,3.7,4.4,1.8,0.8,0.4,1.7,2.0,6.7,NBA,  MEM,F, 24 ,"$13,000,000  ",13000000.0,0.00176,0.0,85
Brook Lopez,59,59,27.2,4.3,8.9,.482,1.5,4.4,.351,2.7,4.5,.610,1.5,1.8,.849,1.4,3.6,4.9,0.7,0.6,1.4,0.9,2.0,11.6,NBA,  MIL,C, 32 ,"$13,000,000  ",13000000.0,0.00176,1.0,86
Joe Ingles,55,18,27.4,4.2,8.1,.517,2.8,5.8,.488,1.3,2.2,.593,1.1,1.3,.857,0.4,3.3,3.7,4.4,0.7,0.2,1.6,1.9,12.3,NBA,  UTH,F, 32 ,"$13,000,000  ",13000000.0,0.00176,0.32727272727272727,87
Marcus Smart,41,38,32.6,4.4,10.6,.411,2.0,5.9,.347,2.3,4.7,.490,2.9,3.6,.796,0.8,2.7,3.4,5.5,1.5,0.5,1.8,2.5,13.6,NBA,  BOS,G, 26 ,"$12,999,975  ",12999975.0,0.00176,0.926829268292683,88
Jordan Clarkson,56,1,26.0,6.4,15.1,.422,3.0,8.7,.349,3.3,6.4,.521,1.7,1.8,.922,0.7,3.3,4.0,2.2,0.9,0.2,1.7,1.5,17.5,NBA,  UTH,G, 28 ,"$12,880,000  ",12880000.0,0.00174,0.017857142857142856,89
