Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,League,Team,Position,Age,salary_float,salary_ratio,Salary_Rank
Steven Adams,54,54,28.1,3.4,5.4,0.62,0,0.1,0,3.4,5.4,0.626,1.1,2.4,0.442,3.8,5.2,9,2,0.9,0.7,1.4,2,7.8,NBA,  NOP,C,27,25000000,0.00338,37
Draymond Green,51,51,30.8,2.5,6.1,0.418,0.5,2.1,0.255,2,4,0.502,1,1.3,0.779,0.9,5.6,6.5,8.5,1.7,0.8,2.9,3.2,6.7,NBA,  GSW,F,30,24916591,0.00337,38
Buddy Hield,58,58,34.3,5.7,14.1,0.404,4,10.4,0.385,1.7,3.7,0.458,1.2,1.5,0.837,0.4,4.1,4.5,3.1,0.8,0.4,1.7,2.5,16.6,NBA,  SAC,G,27,23500000,0.00318,39
Harrison Barnes,56,56,36.4,5.4,11,0.494,1.6,4.3,0.379,3.8,6.7,0.568,3.4,4.1,0.827,1.1,5.5,6.6,3.5,0.8,0.2,1.6,1.3,15.9,NBA,  SAC,F,28,21250000,0.00287,40
Fred VanVleet,46,46,36.1,6.4,16.3,0.391,3.3,9,0.369,3.1,7.3,0.418,3.4,3.8,0.886,0.6,3.5,4.1,6.1,1.7,0.8,1.9,2.4,19.4,NBA,  TOR,G,26,21250000,0.00287,41
Malcolm Brogdon,52,52,35.1,8.1,17.8,0.455,2.7,6.8,0.393,5.4,11,0.493,2.7,3.1,0.863,1.1,4.1,5.2,6,0.9,0.3,2.1,2,21.5,NBA,  IND,G,27,21250000,0.00287,42
Victor Oladipo,33,33,32.7,7.1,17.5,0.408,2.4,7.2,0.326,4.8,10.2,0.466,3.2,4.2,0.754,0.4,4.5,4.8,4.6,1.4,0.4,2.5,2.5,19.8,NBA,  MIA,G,28,21250000,0.00287,43
Gary Harris,25,24,29.4,3.6,8.5,0.423,1.2,3.6,0.341,2.4,4.9,0.484,1.7,2.2,0.778,0.6,1.6,2.2,1.9,0.8,0.3,0.9,2,10.1,NBA,  ORL,G,26,21000000,0.00284,44
Julius Randle,59,59,37.5,8.4,18.3,0.46,2.2,5.3,0.41,6.3,13.1,0.481,4.9,6.1,0.807,1.3,9.2,10.5,6.1,1,0.3,3.5,3.2,23.9,NBA,  NYK,F,25,20700000,0.0028,45
Danilo Gallinari,39,4,24,4,9.5,0.425,2.1,5.2,0.407,1.9,4.2,0.448,3.2,3.4,0.933,0.3,3.8,4.1,1.4,0.6,0.2,1,2.1,13.4,NBA,  ATL,F,32,20475000,0.00277,46
Jerami Grant,51,51,34.2,7.5,17.3,0.43,2.2,6.2,0.357,5.3,11.2,0.471,5.4,6.3,0.854,0.7,4,4.6,2.9,0.7,1.1,2,2.4,22.5,NBA,  DET,F,26,20002500,0.0027,47
Myles Turner,47,47,31,4.4,9.2,0.477,1.5,4.4,0.335,2.9,4.8,0.606,2.4,3,0.782,1.3,5.2,6.5,1,0.9,3.4,1.4,3.5,12.6,NBA,  IND,C,24,20000000,0.0027,48
Aaron Gordon,38,38,28.6,4.8,10.5,0.46,1.4,3.9,0.354,3.5,6.7,0.522,2.2,3.4,0.651,1.5,4.6,6.1,3.7,0.7,0.7,2.2,1.8,13.3,NBA,  DEN,F,25,20000000,0.0027,49
Zach LaVine,53,53,35.2,9.8,19.4,0.506,3.4,8.2,0.416,6.4,11.2,0.572,4.4,5.2,0.848,0.6,4.5,5.1,5.1,0.8,0.5,3.6,2.3,27.5,NBA,  CHI,G,25,19500000,0.00264,50
Terry Rozier,54,54,34.1,7.5,16,0.468,3.4,8.3,0.405,4.1,7.7,0.535,2.4,2.9,0.819,0.6,3.7,4.3,3.9,1.3,0.4,1.9,1.7,20.7,NBA,  CHA,G,26,18900000,0.00255,51
Eric Gordon,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.329,3.3,5.8,0.573,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,NBA,  HOU,G,31,18893589,0.00255,52
Joe Harris,59,55,30.8,5.3,10.3,0.515,3.2,6.5,0.482,2.1,3.7,0.573,0.7,0.9,0.759,0.6,2.9,3.6,1.8,0.7,0.2,0.8,2,14.4,NBA,  BKN,G,29,18750000,0.00253,53
Domantas Sabonis,53,53,35.7,7.5,14.4,0.52,0.8,2.6,0.302,6.7,11.8,0.568,4.1,5.6,0.731,2.5,9.1,11.6,6,1.1,0.5,3.4,3.4,19.9,NBA,  IND,F,24,18725000,0.00253,54
Clint Capela,52,52,30.5,6.8,11.3,0.604,0,0,,6.8,11.3,0.604,2.1,3.7,0.579,4.9,9.8,14.7,0.8,0.7,2.2,1.2,2.3,15.7,NBA,  ATL,C,26,18000000,0.00243,55
